"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"PAPSPAD004";"10.109.194.112";"49974";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"2808";"nxlog"
"PAPSPAD004";"10.109.194.112";"53792";"10.109.187.10";"9997";"PSPLIND005.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD004";"10.109.194.112";"53836";"10.109.187.12";"9997";"PSPLIND007.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD004";"10.109.194.112";"53812";"10.109.187.13";"9997";"psplind008.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD004";"10.109.194.112";"53867";"10.109.187.15";"8089";"PSPLDES001.ca-titres.fr";"Established";"3948";"splunkd"
"PAPSPAD004";"10.109.194.112";"53843";"10.109.187.7";"9997";"PSPLIND002.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD004";"10.109.194.112";"53866";"10.109.187.8";"9997";"PSPLIND003.ca-titres.fr";"Established";"3948";"splunkd"
"PAPSPAD004";"10.109.194.112";"53802";"10.109.194.11";"135";"pdcradm003.ca-titres.adm";"TimeWait";"0";"Idle"
"PAPSPAD004";"10.109.194.112";"53803";"10.109.194.11";"49670";"pdcradm003.ca-titres.adm";"TimeWait";"0";"Idle"
"PAPSPAD004";"10.109.194.112";"49889";"10.109.194.11";"49670";"pdcradm003.ca-titres.adm";"Established";"5476";"splunk-winevtlog"
"PAPSPAD004";"10.109.194.112";"3389";"10.109.194.29";"53678";"PWABBST001.ca-titres.adm";"Established";"1044";"svchost"
"PAPSPAD004";"10.109.194.112";"53794";"10.109.194.6";"135";"PDCRADM001.ca-titres.adm";"TimeWait";"0";"Idle"
"PAPSPAD004";"10.109.194.112";"53796";"10.109.194.6";"49669";"PDCRADM001.ca-titres.adm";"TimeWait";"0";"Idle"
"PAPSPAD004";"10.109.194.112";"53839";"10.109.194.7";"135";"pdcradm002.ca-titres.adm";"TimeWait";"0";"Idle"
"PAPSPAD004";"10.109.194.112";"53840";"10.109.194.7";"49668";"pdcradm002.ca-titres.adm";"Established";"732";"lsass"
"PAPSPAD004";"10.109.194.112";"53715";"10.109.71.128";"443";"PSCAEDR002.ca-titres.fr";"Established";"2888";"SentinelAgent"
"PAPSPAD004";"10.109.194.112";"53860";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD004";"10.109.194.112";"53862";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD004";"10.109.194.112";"53863";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD004";"10.109.194.112";"52798";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD004";"10.109.194.112";"53865";"20.190.159.2";"443";"Non resolu";"SynSent";"8168";"svchost"
"PAPSPAD004";"10.109.194.112";"53859";"48.209.109.33";"443";"Non resolu";"SynSent";"3196";"MsMpEng"
"PAPSPAD004";"10.109.194.112";"53868";"52.123.242.160";"443";"Non resolu";"SynSent";"2296";"MicrosoftEdgeUpdate"
