"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"PAPSRPA005";"10.109.74.35";"50022";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"8172";"nxlog"
"PAPSRPA005";"10.109.74.35";"51962";"10.105.230.50";"135";"ANGITA.ca-titres.fr";"Established";"1700";"svchost"
"PAPSRPA005";"10.109.74.35";"51943";"10.105.230.50";"135";"ANGITA.ca-titres.fr";"Established";"1392";"VeeamGuestHelper"
"PAPSRPA005";"10.109.74.35";"51970";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"51972";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"51973";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"51977";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"51944";"10.105.230.50";"49667";"ANGITA.ca-titres.fr";"Established";"1392";"VeeamGuestHelper"
"PAPSRPA005";"10.109.74.35";"51963";"10.105.230.50";"49667";"ANGITA.ca-titres.fr";"Established";"1700";"svchost"
"PAPSRPA005";"10.109.74.35";"49938";"10.105.230.50";"49667";"ANGITA.ca-titres.fr";"Established";"7740";"splunk-winevtlog"
"PAPSRPA005";"10.109.74.35";"51996";"10.109.187.10";"9997";"PSPLIND005.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA005";"10.109.74.35";"51939";"10.109.187.10";"9997";"PSPLIND005.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA005";"10.109.74.35";"52021";"10.109.187.13";"9997";"psplind008.ca-titres.fr";"Established";"3904";"splunkd"
"PAPSRPA005";"10.109.74.35";"51981";"10.109.187.8";"9997";"PSPLIND003.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA005";"10.109.74.35";"51940";"10.109.187.8";"9997";"PSPLIND003.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA005";"10.109.74.35";"3389";"10.109.194.29";"41436";"Non resolu";"Established";"1116";"svchost"
"PAPSRPA005";"10.109.74.35";"51959";"10.109.194.6";"135";"pdcradm001.ca-titres.adm";"TimeWait";"0";"Idle"
"PAPSRPA005";"10.109.74.35";"51960";"10.109.194.6";"49669";"pdcradm001.ca-titres.adm";"TimeWait";"0";"Idle"
"PAPSRPA005";"10.109.74.35";"51795";"10.109.225.49";"8085";"proxy-servers.ca-titres.fr";"Established";"2920";"SentinelAgent"
"PAPSRPA005";"10.109.74.35";"445";"10.109.230.100";"55666";"PBKPPRX008.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"445";"10.109.230.100";"55670";"PBKPPRX008.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"135";"10.109.230.100";"55672";"PBKPPRX008.ca-titres.fr";"Established";"1020";"svchost"
"PAPSRPA005";"10.109.74.35";"49910";"10.109.230.100";"55676";"PBKPPRX008.ca-titres.fr";"Established";"724";"services"
"PAPSRPA005";"10.109.74.35";"445";"10.109.230.100";"55681";"PBKPPRX008.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"445";"10.109.230.100";"55682";"PBKPPRX008.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"3389";"10.109.230.75";"49167";"AGAMEMNON.ca-titres.fr";"Established";"1116";"svchost"
"PAPSRPA005";"10.109.74.35";"3389";"10.109.230.75";"49174";"AGAMEMNON.ca-titres.fr";"Established";"1116";"svchost"
"PAPSRPA005";"10.109.74.35";"51941";"10.109.230.78";"135";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA005";"10.109.74.35";"51942";"10.109.230.78";"49667";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA005";"10.109.74.35";"51947";"10.109.230.78";"49675";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA005";"10.109.74.35";"52028";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA005";"10.109.74.35";"52004";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"52008";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"52007";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"52006";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSRPA005";"10.109.74.35";"52030";"199.232.170.172";"80";"Non resolu";"SynSent";"4724";"proxyhost"
"PAPSRPA005";"10.109.74.35";"52031";"2.22.255.182";"80";"a2-22-255-182.deploy.static.akamaitechnologies.com";"SynSent";"2920";"SentinelAgent"
"PAPSRPA005";"10.109.74.35";"52033";"20.190.160.132";"443";"Non resolu";"SynSent";"1324";"svchost"
"PAPSRPA005";"10.109.74.35";"52032";"23.11.41.157";"80";"a23-11-41-157.deploy.static.akamaitechnologies.com";"SynSent";"4724";"proxyhost"
