"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"PFSRRPA002";"10.109.71.29";"49853";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"5028";"nxlog"
"PFSRRPA002";"10.109.71.29";"64491";"10.109.187.11";"9997";"PSPLIND006.ca-titres.fr";"Established";"3976";"splunkd"
"PFSRRPA002";"10.109.71.29";"64439";"10.109.187.13";"9997";"psplind008.ca-titres.fr";"TimeWait";"0";"Idle"
"PFSRRPA002";"10.109.71.29";"64470";"10.109.187.6";"9997";"PSPLIND001.ca-titres.fr";"TimeWait";"0";"Idle"
"PFSRRPA002";"10.109.71.29";"64457";"10.109.187.7";"9997";"PSPLIND002.ca-titres.fr";"TimeWait";"0";"Idle"
"PFSRRPA002";"10.109.71.29";"64444";"10.109.187.7";"9997";"PSPLIND002.ca-titres.fr";"TimeWait";"0";"Idle"
"PFSRRPA002";"10.109.71.29";"64408";"10.109.194.11";"49670";"Non resolu";"TimeWait";"0";"Idle"
"PFSRRPA002";"10.109.71.29";"3389";"10.109.194.29";"57296";"Non resolu";"Established";"884";"svchost"
"PFSRRPA002";"10.109.71.29";"64277";"10.109.225.49";"8085";"proxy-servers.ca-titres.fr";"Established";"2880";"SentinelAgent"
"PFSRRPA002";"10.109.71.29";"64413";"10.109.230.75";"135";"AGAMEMNON.ca-titres.fr";"Established";"1576";"svchost"
"PFSRRPA002";"10.109.71.29";"64422";"10.109.230.75";"445";"AGAMEMNON.ca-titres.fr";"Established";"4";"System"
"PFSRRPA002";"10.109.71.29";"64418";"10.109.230.75";"445";"AGAMEMNON.ca-titres.fr";"Established";"4";"System"
"PFSRRPA002";"10.109.71.29";"64420";"10.109.230.75";"445";"AGAMEMNON.ca-titres.fr";"Established";"4";"System"
"PFSRRPA002";"10.109.71.29";"64421";"10.109.230.75";"445";"AGAMEMNON.ca-titres.fr";"Established";"4";"System"
"PFSRRPA002";"10.109.71.29";"3389";"10.109.230.75";"49511";"AGAMEMNON.ca-titres.fr";"Established";"884";"svchost"
"PFSRRPA002";"10.109.71.29";"3389";"10.109.230.75";"49519";"AGAMEMNON.ca-titres.fr";"Established";"884";"svchost"
"PFSRRPA002";"10.109.71.29";"64414";"10.109.230.75";"49670";"AGAMEMNON.ca-titres.fr";"Established";"1576";"svchost"
"PFSRRPA002";"10.109.71.29";"64394";"10.109.230.75";"49670";"AGAMEMNON.ca-titres.fr";"TimeWait";"0";"Idle"
"PFSRRPA002";"10.109.71.29";"49767";"10.109.230.78";"49667";"ASCLEPIOS.ca-titres.fr";"Established";"6316";"splunk-winevtlog"
"PFSRRPA002";"10.109.71.29";"64462";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PFSRRPA002";"10.109.71.29";"64479";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PFSRRPA002";"10.109.71.29";"33354";"10.109.71.29";"64474";"PFSRRPA002.ca-titres.fr";"TimeWait";"0";"Idle"
"PFSRRPA002";"10.109.71.29";"64483";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PFSRRPA002";"10.109.71.29";"64485";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PFSRRPA002";"10.109.71.29";"64486";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PFSRRPA002";"10.109.71.29";"64487";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PFSRRPA002";"10.109.71.29";"64492";"109.61.38.38";"80";"Non resolu";"SynSent";"2596";"svchost"
"PFSRRPA002";"10.109.71.29";"64490";"40.126.31.0";"443";"Non resolu";"SynSent";"1328";"svchost"
"PFSRRPA002";"10.109.71.29";"64493";"52.123.255.71";"443";"Non resolu";"SynSent";"5232";"MicrosoftEdgeUpdate"
