"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"PSFRRPA001";"10.109.71.27";"51601";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"2004";"nxlog"
"PSFRRPA001";"10.109.71.27";"59437";"10.105.230.50";"49667";"ANGITA.ca-titres.fr";"Established";"4908";"splunk-winevtlog"
"PSFRRPA001";"10.109.71.27";"58269";"10.109.187.11";"9997";"PSPLIND006.ca-titres.fr";"TimeWait";"0";"Idle"
"PSFRRPA001";"10.109.71.27";"58274";"10.109.187.12";"9997";"PSPLIND007.ca-titres.fr";"Established";"3408";"splunkd"
"PSFRRPA001";"10.109.71.27";"58254";"10.109.187.6";"9997";"PSPLIND001.ca-titres.fr";"TimeWait";"0";"Idle"
"PSFRRPA001";"10.109.71.27";"58232";"10.109.187.8";"9997";"PSPLIND003.ca-titres.fr";"TimeWait";"0";"Idle"
"PSFRRPA001";"10.109.71.27";"58250";"10.109.187.9";"9997";"PSPLIND004.ca-titres.fr";"TimeWait";"0";"Idle"
"PSFRRPA001";"10.109.71.27";"3389";"10.109.194.29";"38204";"Non resolu";"Established";"256";"svchost"
"PSFRRPA001";"10.109.71.27";"58257";"10.109.194.7";"135";"PDCRADM002.ca-titres.adm";"TimeWait";"0";"Idle"
"PSFRRPA001";"10.109.71.27";"58258";"10.109.194.7";"49668";"PDCRADM002.ca-titres.adm";"Established";"720";"lsass"
"PSFRRPA001";"10.109.71.27";"3389";"10.109.230.75";"49328";"AGAMEMNON.ca-titres.fr";"Established";"256";"svchost"
"PSFRRPA001";"10.109.71.27";"3389";"10.109.230.75";"49329";"AGAMEMNON.ca-titres.fr";"Established";"256";"svchost"
"PSFRRPA001";"10.109.71.27";"58235";"10.109.230.78";"135";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSFRRPA001";"10.109.71.27";"58244";"10.109.230.78";"49667";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSFRRPA001";"10.109.71.27";"58236";"10.109.230.78";"49675";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSFRRPA001";"10.109.71.27";"57892";"10.109.71.128";"443";"pscaedr002.ca-titres.fr";"Established";"5860";"SentinelAgent"
"PSFRRPA001";"10.109.71.27";"58265";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PSFRRPA001";"10.109.71.27";"58272";"20.190.160.64";"443";"Non resolu";"SynSent";"108";"svchost"
