"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"PSQLRPA001";"10.109.71.106";"50433";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"2072";"nxlog"
"PSQLRPA001";"10.109.71.106";"61301";"10.109.187.11";"9997";"PSPLIND006.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA001";"10.109.71.106";"61309";"10.109.187.13";"9997";"psplind008.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA001";"10.109.71.106";"61304";"10.109.187.7";"9997";"PSPLIND002.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA001";"10.109.71.106";"61324";"10.109.187.7";"9997";"PSPLIND002.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA001";"10.109.71.106";"61338";"10.109.187.9";"9997";"PSPLIND004.ca-titres.fr";"Established";"3244";"splunkd"
"PSQLRPA001";"10.109.71.106";"3389";"10.109.194.29";"46066";"Non resolu";"Established";"900";"svchost"
"PSQLRPA001";"10.109.71.106";"3389";"10.109.230.75";"49818";"agamemnon.ca-titres.fr";"Established";"900";"svchost"
"PSQLRPA001";"10.109.71.106";"3389";"10.109.230.75";"49827";"agamemnon.ca-titres.fr";"Established";"900";"svchost"
"PSQLRPA001";"10.109.71.106";"61318";"10.109.230.78";"135";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA001";"10.109.71.106";"61277";"10.109.230.78";"135";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA001";"10.109.71.106";"61278";"10.109.230.78";"49667";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA001";"10.109.71.106";"59627";"10.109.230.78";"49667";"ASCLEPIOS.ca-titres.fr";"Established";"3032";"splunk-winevtlog"
"PSQLRPA001";"10.109.71.106";"61319";"10.109.230.78";"49667";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA001";"10.109.71.106";"61310";"10.109.230.78";"49675";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA001";"10.109.71.106";"61323";"10.109.230.78";"49675";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"50001";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"58671";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"58752";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"58801";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"58832";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"58894";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"58935";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"58936";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"58937";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"58938";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"58939";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"59208";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"59218";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"59255";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"59256";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"62024";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"62050";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"62056";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"1433";"10.109.71.108";"62065";"PAPSRPA003.ca-titres.fr";"Established";"3228";"sqlservr"
"PSQLRPA001";"10.109.71.106";"60964";"10.109.71.128";"443";"PSCAEDR002.ca-titres.fr";"Established";"2172";"SentinelAgent"
"PSQLRPA001";"10.109.71.106";"61337";"10.109.71.29";"33354";"PFSRRPA002.ca-titres.fr";"TimeWait";"0";"Idle"
