"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"RAPSRPA004";"10.109.56.37";"49560";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"4792";"nxlog"
"RAPSRPA004";"10.109.56.37";"49255";"10.105.230.51";"135";"SYLVIA.ca-titres.fr";"Established";"1632";"svchost"
"RAPSRPA004";"10.109.56.37";"49260";"10.105.230.51";"445";"SYLVIA.ca-titres.fr";"Established";"4";"System"
"RAPSRPA004";"10.109.56.37";"49262";"10.105.230.51";"445";"SYLVIA.ca-titres.fr";"Established";"4";"System"
"RAPSRPA004";"10.109.56.37";"49263";"10.105.230.51";"445";"SYLVIA.ca-titres.fr";"Established";"4";"System"
"RAPSRPA004";"10.109.56.37";"49264";"10.105.230.51";"445";"SYLVIA.ca-titres.fr";"Established";"4";"System"
"RAPSRPA004";"10.109.56.37";"49256";"10.105.230.51";"49667";"SYLVIA.ca-titres.fr";"Established";"1632";"svchost"
"RAPSRPA004";"10.109.56.37";"49303";"10.109.187.10";"9997";"PSPLIND005.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"49336";"10.109.187.12";"9997";"PSPLIND007.ca-titres.fr";"Established";"3772";"splunkd"
"RAPSRPA004";"10.109.56.37";"49241";"10.109.187.13";"9997";"psplind008.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"49274";"10.109.187.8";"9997";"PSPLIND003.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"49324";"10.109.187.9";"9997";"PSPLIND004.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"49252";"10.109.194.11";"135";"Non resolu";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"49253";"10.109.194.11";"49670";"Non resolu";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"3389";"10.109.194.29";"34450";"Non resolu";"Established";"1112";"svchost"
"RAPSRPA004";"10.109.56.37";"59887";"10.109.225.49";"8085";"proxy-servers.ca-titres.fr";"Established";"2920";"SentinelAgent"
"RAPSRPA004";"10.109.56.37";"3389";"10.109.230.75";"49288";"AGAMEMNON.ca-titres.fr";"Established";"1112";"svchost"
"RAPSRPA004";"10.109.56.37";"3389";"10.109.230.75";"49289";"AGAMEMNON.ca-titres.fr";"Established";"1112";"svchost"
"RAPSRPA004";"10.109.56.37";"49244";"10.109.230.78";"49667";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"49465";"10.109.230.78";"49667";"ASCLEPIOS.ca-titres.fr";"Established";"6708";"splunk-winevtlog"
"RAPSRPA004";"10.109.56.37";"49243";"10.109.230.78";"49675";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"49321";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"49348";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"33354";"10.109.56.29";"57913";"RTELGEN011.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"33354";"10.109.56.37";"49329";"RAPSRPA004.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"49338";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RAPSRPA004";"10.109.56.37";"49340";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RAPSRPA004";"10.109.56.37";"49341";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RAPSRPA004";"10.109.56.37";"49342";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RAPSRPA004";"10.109.56.37";"49288";"10.109.72.18";"8531";"PMAJWSS001.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"49292";"10.109.72.18";"8531";"PMAJWSS001.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA004";"10.109.56.37";"49353";"2.21.72.203";"80";"a2-21-72-203.deploy.static.akamaitechnologies.com";"SynSent";"2536";"svchost"
"RAPSRPA004";"10.109.56.37";"49351";"2.22.250.124";"80";"a2-22-250-124.deploy.static.akamaitechnologies.com";"SynSent";"6508";"svchost"
"RAPSRPA004";"10.109.56.37";"49352";"40.126.32.138";"443";"Non resolu";"SynSent";"4560";"svchost"
