"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"RSQLRPA001";"10.109.230.33";"65139";"10.105.230.51";"135";"SYLVIA.ca-titres.fr";"TimeWait";"0";"Idle"
"RSQLRPA001";"10.109.230.33";"65144";"10.105.230.51";"445";"SYLVIA.ca-titres.fr";"Established";"4";"System"
"RSQLRPA001";"10.109.230.33";"65146";"10.105.230.51";"445";"SYLVIA.ca-titres.fr";"Established";"4";"System"
"RSQLRPA001";"10.109.230.33";"65147";"10.105.230.51";"445";"SYLVIA.ca-titres.fr";"Established";"4";"System"
"RSQLRPA001";"10.109.230.33";"65148";"10.105.230.51";"445";"SYLVIA.ca-titres.fr";"Established";"4";"System"
"RSQLRPA001";"10.109.230.33";"49776";"10.105.230.51";"49667";"SYLVIA.ca-titres.fr";"Established";"2912";"splunk-winevtlog"
"RSQLRPA001";"10.109.230.33";"65140";"10.105.230.51";"49667";"SYLVIA.ca-titres.fr";"Established";"1172";"svchost"
"RSQLRPA001";"10.109.230.33";"65121";"10.109.187.10";"9997";"PSPLIND005.ca-titres.fr";"TimeWait";"0";"Idle"
"RSQLRPA001";"10.109.230.33";"65123";"10.109.187.12";"9997";"PSPLIND007.ca-titres.fr";"TimeWait";"0";"Idle"
"RSQLRPA001";"10.109.230.33";"65149";"10.109.187.12";"9997";"PSPLIND007.ca-titres.fr";"TimeWait";"0";"Idle"
"RSQLRPA001";"10.109.230.33";"65174";"10.109.187.15";"8089";"PSPLDES001.ca-titres.fr";"Established";"3428";"splunkd"
"RSQLRPA001";"10.109.230.33";"65167";"10.109.187.6";"9997";"PSPLIND001.ca-titres.fr";"Established";"3428";"splunkd"
"RSQLRPA001";"10.109.230.33";"65157";"10.109.187.7";"9997";"PSPLIND002.ca-titres.fr";"TimeWait";"0";"Idle"
"RSQLRPA001";"10.109.230.33";"3389";"10.109.194.29";"40258";"Non resolu";"Established";"316";"svchost"
"RSQLRPA001";"10.109.230.33";"65136";"10.109.194.7";"135";"PDCRADM002.ca-titres.adm";"TimeWait";"0";"Idle"
"RSQLRPA001";"10.109.230.33";"65137";"10.109.194.7";"49668";"PDCRADM002.ca-titres.adm";"Established";"768";"lsass"
"RSQLRPA001";"10.109.230.33";"64430";"10.109.225.49";"8085";"proxy-servers.ca-titres.fr";"Established";"2228";"SentinelAgent"
"RSQLRPA001";"10.109.230.33";"65134";"10.109.230.75";"135";"AGAMEMNON.ca-titres.fr";"TimeWait";"0";"Idle"
"RSQLRPA001";"10.109.230.33";"65135";"10.109.230.75";"49670";"AGAMEMNON.ca-titres.fr";"TimeWait";"0";"Idle"
"RSQLRPA001";"10.109.230.33";"65125";"10.109.230.75";"49690";"AGAMEMNON.ca-titres.fr";"TimeWait";"0";"Idle"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"49857";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53075";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53413";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53511";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53564";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53574";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53597";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53825";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53826";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53827";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53883";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53884";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"53885";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"62111";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"62155";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"63400";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"1433";"10.109.56.34";"63578";"RAPSRPA003.ca-titres.fr";"Established";"4068";"sqlservr"
"RSQLRPA001";"10.109.230.33";"65164";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RSQLRPA001";"10.109.230.33";"65163";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RSQLRPA001";"10.109.230.33";"65162";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RSQLRPA001";"10.109.230.33";"65160";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RSQLRPA001";"10.109.230.33";"65173";"40.126.31.73";"443";"Non resolu";"SynSent";"228";"svchost"
